,Company,Job Title,Location,Estimated Salary,Lower Bound,Median,Upper Bound
1131,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1134,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1135,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1136,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1137,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1138,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1139,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1140,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1142,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1143,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1144,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1145,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1146,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1148,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1149,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1150,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1151,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1152,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1153,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1154,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1155,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1156,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1157,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1158,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1159,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1160,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1161,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1164,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1165,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1166,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1167,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1168,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1169,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1170,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1172,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1173,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1174,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1175,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1176,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1178,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1179,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1180,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1181,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1182,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1183,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1184,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1185,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1186,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1187,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1188,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1189,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1190,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1191,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1194,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1195,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1196,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1197,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1198,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1199,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1200,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1202,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1203,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1204,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1205,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1206,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1208,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1209,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1210,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1211,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1212,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1213,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1214,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1215,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1216,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1217,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1218,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1219,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1220,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1221,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1224,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1225,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1226,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1227,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1228,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1229,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1230,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1232,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1233,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1234,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1235,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1236,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1238,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1239,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1240,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1241,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1242,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1243,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1244,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1245,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1246,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1247,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1248,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1249,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1250,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1251,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1254,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1255,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1256,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1257,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1258,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1259,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1260,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1262,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1263,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1264,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1265,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1266,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1268,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1269,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1270,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1271,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1272,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1273,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1274,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1275,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1276,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1277,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1278,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1279,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1280,Adobe,"['science', 'engineer']","Franklin, VA","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1281,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1284,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1285,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1286,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1287,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1288,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1289,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1290,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1292,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1293,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1294,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1295,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1296,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1298,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1299,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1300,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1301,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1302,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1303,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1304,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1305,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1306,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1307,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1308,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1309,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1310,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1311,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1314,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1315,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1316,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1317,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1318,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1319,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1320,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1322,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1323,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1324,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1325,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1326,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1328,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1329,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1330,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1331,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1332,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1333,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1334,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1335,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1336,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1337,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1338,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1339,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1340,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1341,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1344,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1345,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1346,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1347,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1348,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1349,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1350,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1352,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
1353,Discord,"['engineering', 'manager']","San Francisco, CA","[153600.0, 192000, 230400.0]",153600.0,192000.0,230400.0
1354,YT Global Network,"['engineer', 'remote']",Remote,"[187200, 218400.0, 249600]",187200.0,218400.0,249600.0
1355,excelon solutuion,"['hiring', 'science', 'aws', 'w']",Remote,"[93600, 98800.0, 104000]",93600.0,98800.0,104000.0
1356,Science Systems & Applications,"['science', 'visualizer', 'earth', 'science']","Lanham, MD","[62000, 74000.0, 86000]",62000.0,74000.0,86000.0
1358,Delta,"['coop', 'flight', 'safety', 'science', 'fall']","Atlanta, GA","[40000, 51000.0, 62000]",40000.0,51000.0,62000.0
1359,Hewlett Packard Enterprise,"['science', 'graduate']","San Jose, CA","[109000, 180500.0, 252000]",109000.0,180500.0,252000.0
1360,Hunter Engineering,"['science', 'coop']","Bridgeton, MO","[71000, 90500.0, 110000]",71000.0,90500.0,110000.0
1361,Aristocrat Technologies Inc,"['science', 'analyst']","Las Vegas, NV","[69000, 87500.0, 106000]",69000.0,87500.0,106000.0
1362,Vetro Tech Inc,['scientist'],"Seattle, WA","[87000, 93000.0, 99000]",87000.0,93000.0,99000.0
1363,Electric Hydrogen,"['science', 'coop']","San Carlos, CA","[72800, 83200.0, 93600]",72800.0,83200.0,93600.0
1364,Anblicks,"['science', 'aiml']","Dallas, TX","[58000, 75000.0, 92000]",58000.0,75000.0,92000.0
1365,Havas Group,"['junior', 'fellow', 'decision', 'science']","New York, NY","[29952.0, 37440, 44928.0]",29952.0,37440.0,44928.0
1366,Liberty Mutual Insurance,"['science', 'coop', 'july', 'december']","Boston, MA","[54080, 60320.0, 66560]",54080.0,60320.0,66560.0
1367,BigHat Biosciences,"['programs', 'science', 'consultant', 'remote']","San Mateo, CA","[79000, 104000.0, 129000]",79000.0,104000.0,129000.0
1368,The University of Chicago,"['science', 'analyst']","Chicago, IL","[75000, 91500.0, 108000]",75000.0,91500.0,108000.0
1369,SETI Institute,"['science', 'pipeline', 'operator']","Mountain View, CA","[67000, 81000.0, 95000]",67000.0,81000.0,95000.0
1370,Adobe,"['science', 'engineer']","Lehi, UT","[140000, 200500.0, 261000]",140000.0,200500.0,261000.0
1371,Cobbs Creek Healthcare,"['junior', 'analyst']","Newtown Square, PA","[55000, 60000.0, 65000]",55000.0,60000.0,65000.0
1374,Forward,"['software', 'engineer', 'science']","San Francisco, CA","[113000, 140500.0, 168000]",113000.0,140500.0,168000.0
1375,C3 AI,"['science', 'instructor']","Redwood City, CA","[109000, 125500.0, 142000]",109000.0,125500.0,142000.0
1376,pulseData,"['science', 'associate', 'remote']","New York, NY","[50000, 66500.0, 83000]",50000.0,66500.0,83000.0
1377,Bayer,"['nafto', 'science', 'coop']",United States,"[58240.0, 72800, 87360.0]",58240.0,72800.0,87360.0
1378,MediaMath,"['vp', 'science']","New York, NY","[231000, 265500.0, 300000]",231000.0,265500.0,300000.0
1379,Duolingo,"['head', 'science']","New York, NY","[196000, 255000.0, 314000]",196000.0,255000.0,314000.0
1380,Dataquestcorp,['science'],"Branchburg, NJ","[70000, 74500.0, 79000]",70000.0,74500.0,79000.0
1382,"JPMorgan Chase Bank, N.A.","['advancing', 'hispanics', 'latinos', 'fellowship', 'program', 'ai', 'science', 'track']","New York, NY","[54080, 73840.0, 93600]",54080.0,73840.0,93600.0
